237067,Pele,98,CAM|CF|ST,ICON,Icons,Brazil,95,96,93,96,60,76,4,4,12,#50442b,#f9f9f9,#9d8957,237067,112658,2118,54,1,0,0,237067
158023,Lionel Messi,98,RM|RW,Paris SG,Ligue 1 Uber Eats,Argentina,93,98,97,99,40,77,4,3,5,#efd775,#121653,#705f30,158023,73,16,52,1,0,0,134375751
231747,Kylian Mbappe,97,CF|ST|LW,Paris SG,Ligue 1 Uber Eats,France,99,96,88,98,44,87,4,4,5,#efd775,#121653,#705f30,231747,73,16,18,1,0,0,151226691
165153,Karim Benzema,97,CF|ST,Real Madrid,LaLiga Santander,France,92,97,90,94,45,90,5,3,5,#efd775,#121653,#705f30,165153,243,53,18,1,0,0,84051233
192985,Kevin De Bruyne,97,CM|CAM,Manchester City,Premier League,Belgium,85,94,98,94,81,86,5,3,5,#efd775,#121653,#705f30,192985,10,13,7,1,0,0,117633497
1397,Zinedine Zidane,96,CM|CAM,ICON,Icons,France,85,92,96,95,75,86,5,4,12,#50442b,#f9f9f9,#9d8957,1397,112658,2118,18,1,0,0,1397
270437,Pele,96,CAM|CF|ST,ICON,Icons,Brazil,96,94,92,95,58,75,4,4,129,#574b15,#f9f9f9,#9d8957,270437,112658,2118,54,1,1,0,270437
37576,Ronaldo,96,CF|ST,ICON,Icons,Brazil,97,95,81,95,45,76,5,4,12,#50442b,#f9f9f9,#9d8957,37576,112658,2118,54,1,0,0,37576
239085,Erling Haaland,96,CF|ST,Manchester City,Premier League,Norway,96,96,80,88,60,94,4,3,5,#efd775,#121653,#705f30,239085,10,13,36,1,0,0,100902381
192119,Thibaut Courtois,96,GK,Real Madrid,LaLiga Santander,Belgium,90,95,85,97,60,95,3,0,5,#efd775,#121653,#705f30,192119,243,53,7,1,0,0,67300983
177003,Luka Modric,96,CM,Real Madrid,LaLiga Santander,Croatia,85,86,97,97,85,83,4,3,5,#efd775,#121653,#705f30,177003,243,53,10,1,0,0,117617515
203376,Virgil van Dijk,96,CB,Liverpool,Premier League,Netherlands,88,65,80,83,97,94,3,1,5,#efd775,#121653,#705f30,203376,9,13,34,1,0,0,117643888
270425,Zinedine Zidane,95,CM|CAM,ICON,Icons,France,84,91,94,94,73,85,5,4,129,#574b15,#f9f9f9,#9d8957,270425,112658,2118,18,1,1,0,270425
237068,Pele,95,CAM|CF|ST,ICON,Icons,Brazil,96,93,90,95,56,75,4,4,12,#50442b,#f9f9f9,#9d8957,237068,112658,2118,54,1,0,0,237068
270422,Ronaldo,95,CF|ST,ICON,Icons,Brazil,95,94,80,94,46,78,5,4,129,#574b15,#f9f9f9,#9d8957,270422,112658,2118,54,1,1,0,270422
267897,Gerd Muller,95,CF|ST,ICON,Icons,Germany,89,95,79,90,45,78,4,3,155,#574b15,#f9f9f9,#9d8752,267897,112658,2118,21,1,0,0,50599545
28130,Ronaldinho,95,LM|CAM|LW,ICON,Icons,Brazil,94,91,92,97,38,83,4,4,155,#574b15,#f9f9f9,#9d8752,28130,112658,2118,54,1,0,0,50359778
252371,Jude Bellingham,95,CDM|CM|LM,Borussia Dortmund,Bundesliga,England,88,88,92,96,90,92,4,3,5,#efd775,#121653,#705f30,252371,22,19,14,1,0,0,134470099
214100,Ruud Gullit,94,CM|CAM|CF|ST,ICON,Icons,Netherlands,87,93,93,90,84,91,5,3,155,#574b15,#f9f9f9,#9d8752,214100,112658,2118,34,1,0,0,50545748
250,David Beckham,94,RM|CM|RW,ICON,Icons,England,91,88,96,91,70,83,4,3,155,#574b15,#f9f9f9,#9d8752,250,112658,2118,14,1,0,0,50331898
248450,Zinedine Zidane,94,CM|LM|CAM,ICON,Icons,France,82,90,93,92,72,83,5,4,12,#50442b,#f9f9f9,#9d8957,248450,112658,2118,18,1,0,0,248450
254642,Ferenc Puskas,94,CF|ST,ICON,Icons,Hungary,91,96,91,92,46,76,3,3,12,#50442b,#f9f9f9,#9d8957,254642,112658,2118,23,1,0,0,254642
190045,Johan Cruyff,94,CF|ST,ICON,Icons,Netherlands,91,92,91,94,42,73,5,4,12,#50442b,#f9f9f9,#9d8957,190045,112658,2118,34,1,0,0,190045
28130,Ronaldinho,94,LM|CAM|LW,ICON,Icons,Brazil,92,90,91,95,37,81,4,4,12,#50442b,#f9f9f9,#9d8957,28130,112658,2118,54,1,0,0,28130
